Name,URI,Region GSS code,Period,Sales volume,Reporting period,House price index All property types,Pivotable date
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Sep-13,508,monthly,81.42,01/09/2013
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Oct-13,175,monthly,80.35,01/10/2013
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Oct-13,445,monthly,83.58,01/10/2013
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Oct-13,331,monthly,83.6,01/10/2013
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Oct-13,254,monthly,84.11,01/10/2013
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Oct-13,563,monthly,82.19,01/10/2013
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Nov-13,215,monthly,82.66,01/11/2013
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Nov-13,438,monthly,84.66,01/11/2013
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Nov-13,357,monthly,83.82,01/11/2013
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Nov-13,283,monthly,85.36,01/11/2013
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Nov-13,624,monthly,82.92,01/11/2013
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Dec-13,212,monthly,83.2,01/12/2013
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Dec-13,368,monthly,85,01/12/2013
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Dec-13,319,monthly,84.84,01/12/2013
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Dec-13,248,monthly,85.08,01/12/2013
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Dec-13,522,monthly,84.3,01/12/2013
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Jan-14,127,monthly,84.01,01/01/2014
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Jan-14,410,monthly,86.35,01/01/2014
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Jan-14,316,monthly,85.7,01/01/2014
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Jan-14,232,monthly,86.34,01/01/2014
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Jan-14,520,monthly,84.67,01/01/2014
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Feb-14,156,monthly,84.26,01/02/2014
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Feb-14,397,monthly,87.53,01/02/2014
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Feb-14,306,monthly,86.54,01/02/2014
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Feb-14,243,monthly,86.2,01/02/2014
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Feb-14,521,monthly,85.42,01/02/2014
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Mar-14,158,monthly,86.28,01/03/2014
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Mar-14,388,monthly,89.18,01/03/2014
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Mar-14,296,monthly,86.92,01/03/2014
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Mar-14,240,monthly,86.87,01/03/2014
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Mar-14,443,monthly,85.58,01/03/2014
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Apr-14,157,monthly,87.73,01/04/2014
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Apr-14,416,monthly,89.92,01/04/2014
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Apr-14,277,monthly,88.64,01/04/2014
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,Apr-14,255,monthly,89.65,01/04/2014
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,Apr-14,487,monthly,87.93,01/04/2014
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,May-14,166,monthly,89.34,01/05/2014
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,May-14,383,monthly,91.29,01/05/2014
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,May-14,279,monthly,90.24,01/05/2014
Brent,http://landregistry.data.gov.uk/id/region/brent,E09000005,May-14,233,monthly,92.5,01/05/2014
Bromley,http://landregistry.data.gov.uk/id/region/bromley,E09000006,May-14,484,monthly,90.35,01/05/2014
Barking and Dagenham,http://landregistry.data.gov.uk/id/region/barking-and-dagenham,E09000002,Jun-14,162,monthly,89.99,01/06/2014
Barnet,http://landregistry.data.gov.uk/id/region/barnet,E09000003,Jun-14,427,monthly,92.94,01/06/2014
Bexley,http://landregistry.data.gov.uk/id/region/bexley,E09000004,Jun-14,334,monthly,92.64,01/06/2014
